plot_id,stand_id,clone,age2,SI,Dmean,DGM,Hmean,HGM,Hdom,N,G,V,f_veg_2m,f_havg,f_hstd,f_h10,f_h30,f_h50,f_h70,f_h90,f_h95,f_p10,f_p30,f_p50,f_p70,f_p90,f_p95,l_havg,l_hstd,l_h10,l_h30,l_h50,l_h70,l_h90,l_h95,l_p10,l_p30,l_p50,l_p70,l_p90,l_p95
12,3,3722,2.5,39.098,15.281,16.100,21.948,23.000,22.905,809.901,15.054,167.838,89.003,15.507,6.187,15.098,16.482,18.048,19.518,21.188,21.792,23.607,43.109,61.144,77.713,92.962,96.628,5.253,8.713,17.403,19.162,19.977,20.727,21.795,22.115,76.558,82.196,87.537,92.730,97.774,98.961
13,4,3720,2.7,36.195,15.251,15.800,21.155,21.639,22.411,734.561,13.557,117.657,87.673,14.507,6.389,14.311,16.142,17.880,18.925,20.045,20.507,26.289,45.409,62.390,78.113,93.082,96.604,4.272,7.939,17.482,18.545,19.392,19.903,20.750,21.106,80.258,85.032,89.548,93.806,98.065,99.097
14,4,3720,2.7,36.103,14.770,15.300,20.893,21.356,22.353,809.901,14.051,122.136,88.037,14.558,6.376,15.246,16.494,17.730,18.774,20.232,20.602,26.729,45.047,62.056,78.131,93.084,96.636,3.578,7.154,12.344,18.050,19.229,20.117,20.713,20.899,82.857,87.429,91.238,94.857,98.476,99.238
15,4,3720,2.7,36.406,15.214,16.000,21.232,21.749,22.541,791.066,14.636,128.273,91.870,15.775,5.737,14.914,16.628,18.378,19.508,20.691,21.183,22.133,42.199,60.197,76.833,92.575,96.382,4.464,8.197,17.768,19.149,19.854,20.549,21.277,21.558,79.867,84.674,89.243,93.670,97.953,99.000
16,4,3720,2.7,36.239,14.609,15.200,20.915,21.297,22.438,828.736,14.140,124.300,85.586,13.515,6.410,14.135,15.419,16.832,18.084,19.531,20.081,28.378,46.697,63.363,78.979,93.393,96.847,3.217,7.022,17.022,18.095,18.763,19.647,20.441,20.685,84.877,88.426,91.975,95.370,98.457,99.383
17,5,3731,11.8,36.759,21.784,24.800,34.223,37.321,40.367,828.736,32.633,613.979,85.333,26.313,12.342,25.888,32.564,33.625,34.347,35.119,35.487,28.708,46.125,62.000,77.458,92.625,96.333,2.360,7.898,19.826,27.302,32.800,34.645,35.361,35.532,93.083,94.976,96.614,97.998,99.345,99.672
18,5,3731,11.8,34.849,20.809,23.500,33.596,36.345,38.270,828.736,29.412,546.641,93.488,29.734,9.139,26.766,32.707,33.750,34.515,35.451,35.875,20.093,39.442,57.302,74.744,91.767,95.907,3.080,8.899,20.311,27.966,30.187,32.025,35.659,36.198,90.808,93.324,95.404,97.388,99.178,99.613
19,5,3731,11.8,36.688,21.787,25.000,33.958,37.465,40.289,866.406,34.535,651.786,94.040,29.566,8.830,26.612,32.064,33.167,34.148,35.723,36.326,19.726,39.262,57.379,74.929,91.911,95.979,3.597,9.433,19.981,26.076,29.634,32.364,35.481,36.146,88.973,92.028,94.597,96.900,99.026,99.513
20,5,3731,11.8,36.241,22.590,24.900,35.289,37.500,39.799,772.231,32.164,606.445,94.601,28.963,8.086,27.163,31.484,32.213,32.796,33.677,34.054,19.008,38.072,56.253,74.105,91.515,95.813,2.142,7.076,17.128,23.558,26.360,28.840,33.302,33.602,92.694,94.767,96.477,98.031,99.378,99.689
21,6,3731,11.8,34.786,22.174,24.300,35.049,37.027,38.200,791.066,31.370,587.464,96.022,32.370,7.990,32.339,33.995,34.803,35.766,36.785,37.163,17.010,36.351,55.144,73.525,91.358,95.748,4.163,10.204,21.993,27.662,29.876,32.388,36.804,37.229,87.785,91.007,93.960,96.644,98.926,99.463
22,6,3731,11.8,35.087,21.730,23.200,34.728,36.234,38.531,885.241,33.699,628.779,88.914,30.111,11.616,30.025,34.799,35.821,36.511,37.236,37.595,24.057,42.006,59.050,75.716,92.006,96.078,5.887,12.347,23.218,29.548,35.236,36.563,37.376,37.699,83.948,88.326,92.012,95.315,98.464,99.232
23,6,3731,11.8,35.437,21.724,23.300,34.682,36.308,38.915,847.571,32.342,603.982,92.833,32.239,10.081,32.736,35.445,36.434,37.126,37.933,38.216,20.193,38.965,56.883,74.403,91.581,95.848,4.639,11.143,23.549,29.658,32.274,36.941,38.263,38.360,87.255,90.715,93.714,96.367,98.847,99.423
29,8,3731,11.9,35.435,20.488,23.100,34.060,37.063,38.942,904.075,30.904,571.862,88.534,29.072,11.319,31.355,33.533,34.450,35.115,35.889,36.226,24.060,41.917,59.023,75.752,92.105,96.053,3.276,9.091,22.047,27.737,28.893,32.302,35.734,35.945,90.253,92.788,95.127,97.271,99.220,99.610
30,8,3731,11.9,36.212,20.807,22.800,34.383,36.790,39.796,847.571,29.952,556.291,90.155,30.072,10.979,31.829,33.910,34.879,35.656,36.532,36.861,22.644,40.788,58.228,75.246,91.983,96.062,2.257,7.794,21.655,27.064,30.226,34.099,36.029,36.612,93.314,95.203,96.802,98.110,99.419,99.709
33,9,3731,11.9,33.143,19.935,22.200,32.516,34.528,36.423,809.901,26.170,481.577,91.973,30.898,11.161,27.912,35.274,36.518,37.730,38.903,39.333,23.106,42.236,59.415,76.069,92.198,96.174,2.792,8.746,22.596,26.758,30.653,34.592,38.631,39.151,91.973,94.181,96.120,97.793,99.331,99.666
34,9,3731,11.9,33.952,20.537,23.100,32.625,35.231,37.312,866.406,29.975,555.925,90.798,30.255,10.739,31.109,33.678,34.923,35.811,36.748,37.116,22.192,40.595,58.187,75.237,91.881,96.076,2.197,7.669,11.863,28.318,31.184,35.327,36.793,36.829,93.629,95.429,96.953,98.199,99.446,99.723
35,9,3731,11.9,35.800,22.259,25.600,33.660,37.017,39.343,734.561,30.289,572.600,94.063,33.594,10.020,31.401,35.907,37.325,39.038,40.309,40.755,19.500,38.938,57.313,74.875,91.813,95.938,4.572,11.680,26.775,32.062,37.083,39.508,40.474,40.915,88.518,91.589,94.259,96.662,98.932,99.466
36,9,3731,11.9,33.145,20.060,21.500,32.226,33.956,36.426,941.745,30.640,563.586,86.985,30.290,13.060,30.094,35.730,37.110,38.179,39.084,39.409,26.289,44.072,60.567,76.675,92.397,96.263,1.487,6.714,25.209,31.010,33.035,36.618,38.820,38.857,96.139,97.169,98.069,98.842,99.743,99.871
